method,depth,metric,mean,ci_low,ci_high,n_seeds
AMSC-norm,3,support_size,1.812857142857143,1.6165331398247407,2.009181145889545,7
AMSC-norm,3,support_fraction,0.33546768707482993,0.2970105552499728,0.3739248188996871,7
AMSC-norm,3,same_family_precision,0.6770833333333334,0.5825694231774047,0.7715972434892621,7
AMSC-norm,3,same_family_recall,0.9966071428571429,0.9921113114546101,1.0,7
AMSC-norm,3,any_same_family,0.9966071428571429,0.9921113114546101,1.0,7
AMSC-norm,3,jaccard_stability,0.9460696338837041,0.9278570476589529,0.9642822201084553,7
AMSC-norm,3,first_correct_found,1.0,1.0,1.0,7
AMSC-norm,3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-norm,3,steps_until_first_correct,2560.0,2560.0,2560.0,7
AMSC-norm,4,support_size,2.131607142857143,2.0056277232416093,2.2575865624726763,7
AMSC-norm,4,support_fraction,0.22667424242424244,0.2139848134203439,0.239363671428141,7
AMSC-norm,4,same_family_precision,0.9194404761904762,0.8581544455843608,0.9807265067965916,7
AMSC-norm,4,same_family_recall,0.9359821428571429,0.8949606596643896,0.9770036260498961,7
AMSC-norm,4,any_same_family,0.9832142857142857,0.9503142857142858,1.0,7
AMSC-norm,4,jaccard_stability,0.9750448671931083,0.9639960221038091,0.9860937122824076,7
AMSC-norm,4,first_correct_found,1.0,1.0,1.0,7
AMSC-norm,4,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-norm,4,steps_until_first_correct,2560.0,2560.0,2560.0,7
AMSC-norm,5,support_size,2.3962499999999998,2.2361282832759195,2.55637171672408,7
AMSC-norm,5,support_fraction,0.18045820251177394,0.16977364547572693,0.19114275954782095,7
AMSC-norm,5,same_family_precision,0.9497440476190475,0.9057374738703239,0.9937506213677711,7
AMSC-norm,5,same_family_recall,0.7401785714285714,0.6840185858384603,0.7963385570186824,7
AMSC-norm,5,any_same_family,1.0,1.0,1.0,7
AMSC-norm,5,jaccard_stability,0.9563681502751854,0.9380158967229257,0.9747204038274451,7
AMSC-norm,5,first_correct_found,1.0,1.0,1.0,7
AMSC-norm,5,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-norm,5,steps_until_first_correct,2560.0,2560.0,2560.0,7
